wavelength (nm),Irradiance (watts/cm^2/nm)
199.5,0.005498
200.5,0.0070339999999999995
201.5,0.007176
202.5,0.007875
203.5,0.008704
204.5,0.009467
205.5,0.009555999999999999
206.5,0.01018
207.5,0.011470000000000001
208.5,0.01456
209.5,0.024239999999999998
210.5,0.027510000000000003
211.5,0.03386
212.5,0.03015
213.5,0.03187
214.5,0.04096
215.5,0.03691
216.5,0.03417
217.5,0.036109999999999996
218.5,0.04494
219.5,0.047619999999999996
220.5,0.04813
221.5,0.039310000000000005
222.5,0.05064
223.5,0.06584999999999999
224.5,0.05787
225.5,0.05392
226.5,0.040979999999999996
227.5,0.04089
228.5,0.05399
229.5,0.04779
230.5,0.056280000000000004
231.5,0.04995
232.5,0.05486
233.5,0.045869999999999994
234.5,0.03933
235.5,0.05694
236.5,0.049229999999999996
237.5,0.05328
238.5,0.04192
239.5,0.04646
240.5,0.04305
241.5,0.05248
242.5,0.07246999999999999
243.5,0.06541
244.5,0.06239
245.5,0.05114
246.5,0.0515
247.5,0.05714
248.5,0.04518
249.5,0.05843
250.5,0.05923
251.5,0.04661
252.5,0.04399
253.5,0.055479999999999995
254.5,0.06079
255.5,0.0885
256.5,0.1067
257.5,0.12940000000000002
258.5,0.1343
259.5,0.10779999999999999
260.5,0.102
261.5,0.1032
262.5,0.12090000000000001
263.5,0.1754
264.5,0.2737
265.5,0.2802
266.5,0.2605
267.5,0.2699
268.5,0.26
269.5,0.2524
270.5,0.2933
271.5,0.2323
272.5,0.2147
273.5,0.2038
274.5,0.1373
275.5,0.2002
276.5,0.25830000000000003
277.5,0.2402
278.5,0.1659
279.5,0.08942
280.5,0.1124
281.5,0.2311
282.5,0.3068
283.5,0.3295
284.5,0.244
285.5,0.141
286.5,0.31989999999999996
287.5,0.3712
288.5,0.30660000000000004
289.5,0.4556
290.5,0.6227
291.5,0.6002000000000001
292.5,0.5452
293.5,0.5454
294.5,0.5092
295.5,0.5484
296.5,0.4924
297.5,0.5314
298.5,0.4127
299.5,0.4848
300.5,0.4026
301.5,0.44539999999999996
302.5,0.4839
303.5,0.6307
304.5,0.6103999999999999
305.5,0.5798
306.5,0.5752999999999999
307.5,0.645
308.5,0.6134
309.5,0.4839
310.0,0.49460000000000004
310.40000000000003,0.507
310.8,0.5881000000000001
311.2,0.7069
311.59999999999997,0.7475
312.0,0.707
312.40000000000003,0.6439
312.8,0.6628
313.2,0.7101000000000001
313.59999999999997,0.6912999999999999
314.0,0.6895
314.40000000000003,0.7216
314.8,0.6726
315.2,0.6952999999999999
315.59999999999997,0.7652
316.0,0.6747000000000001
316.40000000000003,0.5691
316.8,0.6229
317.2,0.7486
317.59999999999997,0.8298
318.0,0.8129
318.40000000000003,0.6732
318.79999999999995,0.6421
319.2,0.7677999999999999
319.6,0.7594
320.0,0.7122
320.40000000000003,0.7784
320.79999999999995,0.8437
321.2,0.8466
321.6,0.7362000000000001
322.0,0.6947000000000001
322.40000000000003,0.7732
322.79999999999995,0.7581
323.2,0.6457
323.6,0.6032000000000001
324.0,0.6042000000000001
324.40000000000003,0.6185
324.79999999999995,0.6545
325.2,0.646
325.6,0.682
326.0,0.8523999999999999
326.40000000000003,1.049
326.79999999999995,1.111
327.2,1.108
327.6,1.05
328.0,0.9645
328.40000000000003,0.9144
328.79999999999995,0.9126000000000001
329.2,0.9515
329.6,1.043
330.0,1.144
330.40000000000003,1.137
330.5,1.006
331.5,0.9676
332.5,0.9207000000000001
333.5,0.9047000000000001
334.5,0.9397000000000001
335.5,0.9816
336.5,0.7649
337.5,0.8657999999999999
338.5,0.9157000000000001
339.5,0.9367000000000001
340.5,0.9916
341.5,0.9357000000000001
342.5,0.9946
343.5,0.9846
344.5,0.719
345.5,0.9666
346.5,0.9187000000000001
347.5,0.9017000000000001
348.5,0.9477000000000001
349.5,0.8647999999999999
350.5,1.119
351.5,0.9926
352.5,0.8707999999999999
353.5,1.115
354.5,1.133
355.5,1.058
356.5,0.9377000000000001
