Wavelength (microns),Irradiance (Watts/m^2/micron)
0.1995,54979.99999999999
0.2005,70340.0
0.2015,71760.0
0.2025,78750.0
0.2035,87040.0
0.2045,94670.0
0.2055,95560.0
0.2065,101800.0
0.2075,114700.0
0.2085,145600.0
0.2095,242400.0
0.2105,275100.00000000006
0.2115,338600.0
0.2125,301500.0
0.2135,318699.99999999994
0.2145,409600.00000000006
0.2155,369100.00000000006
0.2165,341700.0
0.2175,361100.00000000006
0.2185,449400.0
0.2195,476200.0
0.2205,481300.0
0.2215,393100.00000000006
0.2225,506400.0
0.2235,658499.9999999999
0.2245,578700.0
0.2255,539200.0
0.2265,409800.0
0.2275,408899.99999999994
0.2285,539900.0
0.2295,477900.0
0.2305,562800.0
0.2315,499500.0
0.2325,548600.0
0.2335,458700.0
0.2345,393300.00000000006
0.2355,569400.0
0.2365,492300.00000000006
0.2375,532799.9999999999
0.2385,419200.0
0.2395,464600.0
0.2405,430500.0
0.2415,524800.0
0.2425,724699.9999999999
0.2435,654100.0
0.2445,623900.0
0.2455,511400.0
0.2465,515000.0
0.2475,571400.0
0.2485,451800.0
0.2495,584300.0
0.2505,592300.0
0.2515,466100.00000000006
0.2525,439899.99999999994
0.2535,554800.0
0.2545,607900.0
0.2555,885000.0
0.2565,1067000.0
0.2575,1294000.0000000002
0.2585,1343000.0
0.2595,1078000.0
0.2605,1019999.9999999999
0.2615,1032000.0
0.2625,1209000.0
0.2635,1754000.0
0.2645,2737000.0
0.2655,2802000.0
0.2665,2605000.0
0.2675,2698999.9999999995
0.2685,2600000.0
0.2695,2524000.0
0.2705,2933000.0
0.2715,2323000.0
0.2725,2147000.0
0.2735,2038000.0
0.2745,1373000.0
0.2755,2002000.0
0.2765,2583000.0000000005
0.2775,2402000.0
0.2785,1659000.0
0.2795,894200.0
0.2805,1124000.0
0.2815,2311000.0
0.2825,3068000.0
0.2835,3295000.0
0.2845,2440000.0
0.2855,1409999.9999999998
0.2865,3199000.0
0.2875,3711999.9999999995
0.2885,3066000.0000000005
0.2895,4556000.0
0.2905,6227000.0
0.2915,6002000.000000001
0.2925,5452000.0
0.2935,5454000.0
0.2945,5092000.0
0.2955,5484000.0
0.2965,4924000.0
0.2975,5314000.0
0.2985,4127000.0
0.2995,4848000.0
0.3005,4026000.0
0.3015,4454000.0
0.3025,4839000.0
0.3035,6307000.0
0.3045,6103999.999999999
0.3055,5798000.0
0.3065,5752999.999999999
0.3075,6450000.0
0.3085,6133999.999999999
0.3095,4839000.0
0.31,4946000.0
0.31040000000000006,5070000.0
0.3108,5881000.000000001
0.3112,7069000.0
0.31160000000000004,7475000.000000001
0.312,7070000.000000001
0.31240000000000007,6439000.0
0.3128,6627999.999999999
0.3132,7101000.000000001
0.31360000000000005,6912999.999999999
0.314,6895000.0
0.31440000000000007,7216000.0
0.3148,6726000.0
0.3152,6952999.999999999
0.31560000000000005,7652000.0
0.316,6747000.000000001
0.31640000000000007,5691000.000000001
0.3168,6229000.0
0.3172,7486000.0
0.31760000000000005,8298000.0
0.318,8129000.0
0.31840000000000007,6732000.0
0.3187999999999999,6421000.0
0.3192,7677999.999999999
0.3196,7594000.0
0.32,7122000.000000001
0.3204000000000001,7784000.0
0.3207999999999999,8437000.0
0.3212,8466000.0
0.3216,7362000.000000001
0.322,6947000.000000001
0.3224000000000001,7732000.0
0.3227999999999999,7581000.0
0.3232,6457000.000000001
0.3236,6032000.000000001
0.324,6042000.000000001
0.3244000000000001,6185000.000000001
0.3247999999999999,6545000.0
0.3252,6459999.999999999
0.3256,6820000.000000001
0.326,8524000.0
0.3264000000000001,10490000.000000002
0.3267999999999999,11110000.0
0.3272,11079999.999999998
0.3276,10500000.0
0.328,9645000.0
0.3284000000000001,9144000.0
0.32879999999999987,9126000.0
0.3292,9515000.0
0.3296,10430000.0
0.33,11440000.000000002
0.3304000000000001,11370000.0
0.3305,10060000.0
0.3315,9676000.0
0.3325,9207000.0
0.3335,9047000.0
0.3345,9397000.0
0.3355,9816000.0
0.3365,7649000.0
0.3375,8657999.999999998
0.3385,9157000.0
0.3395,9367000.0
0.3405,9916000.0
0.3415,9357000.0
0.3425,9946000.0
0.3435,9846000.0
0.3445,7190000.000000001
0.3455,9666000.0
0.3465,9187000.0
0.3475,9017000.0
0.3485,9477000.0
0.3495,8647999.999999998
0.3505,11190000.0
0.3515,9926000.0
0.3525,8708000.0
0.3535,11150000.0
0.3545,11330000.0
0.3555,10580000.0
0.3565,9377000.0
0.3575,8908000.0
0.3585,6271000.0
0.3595,11359999.999999998
0.3605,9786000.0
0.3615,8937000.0
0.3625,11750000.0
0.3635,9577000.0
0.3645,10149999.999999998
0.3655,12629999.999999998
0.3665,12490000.000000002
0.3675,12140000.0
0.3685,10880000.0
0.3695,13310000.0
0.3705,10750000.0
0.3715,13070000.0
0.3725,10650000.0
0.3735,8378000.0
0.3745,8778000.0
0.3755,11410000.0
0.3765,11010000.0
0.3775,12910000.0
0.3785,13410000.0
0.3795,9996000.0
0.3805,12890000.000000002
0.3815,10959999.999999998
0.3825,7330000.0
0.3835,6840000.000000001
0.3845,10270000.000000002
0.3855,9537000.0
0.3865,10710000.0
0.3875,9656000.0
0.3885,9117000.0
0.3895,12270000.0
0.3905,12229999.999999998
0.3915,13980000.000000002
0.3925,9547000.0
0.3935,4893000.0
0.3945,11010000.0
0.3955,13780000.000000002
0.3965,6501000.0
0.3975,10400000.0
0.3985,15380000.0
0.3995,16550000.0
0.4005,16490000.0
0.4015,17960000.0
0.4025,18030000.0
0.4035,16580000.000000002
0.4045,16019999.999999998
0.4055,16720000.0
0.4065,16240000.000000002
0.4075,15450000.0
0.4085,18240000.0
0.4095,17060000.0
0.4105,15019999.999999998
0.4115,18190000.0
0.4125,17910000.0
0.4135,17580000.0
0.4145,17390000.0
0.4155,17360000.0
0.4165,18440000.0
0.4175,16669999.999999998
0.4185,16860000.0
0.4195,17030000.0
0.4205,17600000.0
0.4215,17990000.0
0.4225,15840000.0
0.4235,17130000.0
0.4245,17700000.0
0.4255,16970000.0
0.4265,17000000.0
0.4275,15710000.0
0.4285,15890000.0
0.4295,14769999.999999998
0.4305,11359999.999999998
0.4315,16880000.0
0.4325,16480000.000000002
0.4335,17330000.0
0.4345,16720000.0
0.4355,17250000.0
0.4365,19310000.0
0.4375,18080000.0
0.4385,15690000.0
0.4395,18270000.0
0.4405,17150000.0
0.4415,19330000.0
0.4425,19820000.0
0.4435,19110000.0
0.4445,19750000.0
0.4455,18230000.0
0.4465,18930000.0
0.4475,20790000.0
0.4485,19750000.0
0.4495,20290000.0
0.4505,21460000.0
0.4515,21109999.999999996
0.4525,19430000.0
0.4535,19720000.0
0.4545,19810000.0
0.4555,20360000.0
0.4565,20790000.0
0.4575,21020000.0
0.4585,19730000.0
0.4595,20110000.0
0.4605,20420000.0
0.4615,20570000.0
0.4625,21060000.0
0.4635,20420000.0
0.4645,19780000.000000004
0.4655,20440000.0
0.4665,19230000.0
0.4675,20170000.0
0.4685,19960000.0
0.4695,19920000.0
0.4705,18790000.0
0.4715,20200000.0
0.4725,20430000.0
0.4735,19930000.0
0.4745,20530000.0
0.4755,20180000.000000004
0.4765,19580000.0
0.4775,20770000.0
0.4785,20110000.0
0.4795,20780000.000000004
0.4805,20370000.0
0.4815,20920000.0
0.4825,20250000.0
0.4835,20210000.0
0.4845,19710000.0
0.4855,18320000.0
0.4865,16269999.999999998
0.4875,18320000.0
0.4885,19160000.0
0.4895,19620000.0
0.4905,20090000.0
0.4915,18980000.0
0.4925,18980000.0
0.4935,18900000.0
0.4945,20600000.0
0.4955,19280000.0
0.4965,20190000.0
0.4975,20200000.0
0.4985,18680000.0
0.4995,19720000.0
0.5005,18590000.0
0.5015,18140000.0
0.5025,18960000.0
0.5035,19360000.0
0.5045,18710000.0
0.5055,19950000.0
0.5065,19630000.0
0.5075,19080000.0
0.5085,19210000.0
0.5095,19180000.0
0.5105,19490000.0
0.5115,19990000.0
0.5125,18690000.0
0.5135,18630000.000000004
0.5145,18760000.0
0.5155,19020000.0
0.5165,16710000.0
0.5175,17280000.000000004
0.5185,16560000.0
0.5195,18300000.0
0.5205,18330000.0
0.5215,19080000.0
0.5225,18250000.0
0.5235,18960000.0
0.5245,19600000.0
0.5255,19320000.0
0.5265,16760000.0
0.5275,18300000.0
0.5285,18990000.0
0.5295,19200000.0
0.5305,19540000.0
0.5315,19650000.0
0.5325,17730000.0
0.5335,19250000.0
0.5345,18600000.0
0.5355,19920000.0
0.5365,18730000.000000004
0.5375,18840000.0
0.5385,19060000.0
0.5395,18340000.0
0.5405,17719999.999999996
0.5415,18830000.0
0.5425,18270000.0
0.5435,18810000.0
0.5445,18810000.0
0.5455,19030000.0
0.5465,18810000.0
0.5475,18350000.0
0.5485,18650000.0
0.5495,18969999.999999996
0.5505,18640000.0
0.5515,18730000.000000004
0.5525,18480000.0
0.5535,18840000.0
0.5545,19000000.0
0.5555,18990000.0
0.5565,18230000.0
0.5575,18480000.0
0.5585,17890000.0
0.5595,18100000.0
0.5605,18450000.0
0.5615,18260000.0
0.5625,18520000.0
0.5635,18630000.000000004
0.5645,18560000.0
0.5655,18000000.0
0.5665,18310000.0
