wavelength (microns),c_extinction,c_scattering,kappa,g,P_max,Thetmax
0.2,19.663,19.663,8.2421e+16,0.8291200000000001,0.95667,151.0
0.255,19.842,19.842,8.3169e+16,0.83085,0.80942,147.0
0.3,19.917,19.917,8.3484e+16,0.8355600000000001,0.7750199999999999,147.0
0.336,20.135,20.135,8.44e+16,0.8372299999999999,0.70809,146.0
0.4,20.233,20.233,8.4808e+16,0.83137,0.72751,145.0
0.5,20.628,20.628,8.6464e+16,0.82104,0.6691199999999999,144.0
0.588,20.698,20.698,8.676e+16,0.81325,0.56501,145.0
0.6,20.893,20.893,8.7577e+16,0.81415,0.71406,148.0
0.631,20.811,20.811,8.7234e+16,0.80881,0.67797,147.0
0.673,20.916,20.916,8.7674e+16,0.80547,0.62121,146.0
0.7,21.153000000000002,21.153000000000002,8.8666e+16,0.78873,0.65657,150.0
0.763,21.406999999999996,21.406999999999996,8.9729e+16,0.79542,0.45683999999999997,150.0
0.8,21.334,21.334,8.9423e+16,0.79506,0.5281899999999999,150.0
0.835,21.305,21.305,8.9301e+16,0.79145,0.5825600000000001,152.0
0.9,21.976,21.975,9.2113e+16,0.77723,0.6551899999999999,149.0
0.953,22.169,22.169,9.2924e+16,0.78556,0.61106,156.0
1.0,22.649,22.648000000000003,9.4936e+16,0.78627,0.62133,147.0
1.1,23.752,23.750999999999998,9.956e+16,0.79535,0.63043,145.0
1.2,24.998,24.995,1.0478e+17,0.8064600000000001,0.66142,159.0
1.3,26.201,26.195999999999998,1.0983e+17,0.81614,0.65461,157.0
1.4,27.719,27.713,1.1619e+17,0.83076,0.65393,154.0
1.5,28.410999999999998,28.24,1.1909e+17,0.8424299999999999,0.71015,153.0
1.6,28.998,28.916,1.2155e+17,0.8468399999999999,0.69605,154.0
1.7,29.666999999999998,29.618000000000002,1.2435e+17,0.8559200000000001,0.66833,153.0
1.8,29.364,29.33,1.2308e+17,0.8623700000000001,0.66999,151.0
1.9,28.949,28.855999999999998,1.2134e+17,0.86661,0.67562,150.0
2.0,28.194000000000003,27.818,1.1818e+17,0.8713799999999999,0.6609,149.0
2.1,27.230999999999998,27.05,1.1414e+17,0.8732200000000001,0.65872,148.0
2.2,25.861,25.808000000000003,1.084e+17,0.8757,0.66325,146.0
2.3,24.068,24.011,1.0088e+17,0.8785799999999999,0.67051,144.0
2.4,21.866999999999997,21.76,9.1658e+16,0.8815200000000001,0.68152,141.0
2.5,19.123,18.987000000000002,8.0154e+16,0.88479,0.70047,138.0
2.6,15.421,15.261,6.464e+16,0.88931,0.7328600000000001,131.0
2.7,10.163,9.4568,4.2598e+16,0.8969299999999999,0.7992199999999999,117.0
2.8,5.2853,2.3743,2.2154e+16,0.9051,0.92914,98.0
2.9,11.334000000000001,3.3428,4.7507e+16,0.8851899999999999,0.9245899999999999,87.0
3.0,18.152,7.2456,7.6086e+16,0.8455,0.83993,81.0
3.1,22.79,10.238,9.5529e+16,0.81934,0.60247,80.0
3.2,25.583000000000002,12.773,1.0724e+17,0.80847,0.16063,89.0
3.3,28.414,18.74,1.191e+17,0.77305,0.00046479999999999997,11.0
3.4,29.499000000000002,24.475,1.2365e+17,0.75966,0.0,0.0
3.5,28.340999999999998,26.076999999999998,1.188e+17,0.76488,0.0,0.0
3.6,26.369,25.13,1.1053e+17,0.7731100000000001,0.04877,115.0
3.7,24.35,23.408,1.0207e+17,0.77937,0.11903,116.0
3.8,22.534000000000002,21.682,9.4455e+16,0.78301,0.17304,116.0
3.9,20.921999999999997,19.977,8.7696e+16,0.7850699999999999,0.22149000000000002,116.0
4.0,19.532,18.435,8.1871e+16,0.78581,0.26177,115.0
4.1,18.291,17.074,7.667e+16,0.78535,0.29711,114.0
4.2,17.183,15.776,7.2024e+16,0.78447,0.33045,114.0
4.3,16.195999999999998,14.48,6.7888e+16,0.78356,0.36396999999999996,113.0
4.4,15.533,13.345999999999998,6.5108e+16,0.7821,0.39049,112.0
4.5,15.235999999999999,12.668,6.3864e+16,0.7788,0.40046,112.0
4.6,15.071,12.715,6.3171e+16,0.7721600000000001,0.38725,111.0
4.7,14.325,12.645999999999999,6.0043e+16,0.7654,0.38749,110.0
4.8,13.499,12.16,5.6582e+16,0.76053,0.40225,109.0
4.9,12.652999999999999,11.517000000000001,5.3035e+16,0.75638,0.42353999999999997,109.0
5.0,11.847000000000001,10.814,4.9656e+16,0.75256,0.44818,108.0
5.1,11.112,10.083,4.6578e+16,0.7489899999999999,0.47521,107.0
5.2,10.437000000000001,9.3784,4.3747e+16,0.74536,0.503,107.0
5.3,9.8119,8.6711,4.1128e+16,0.7418100000000001,0.53314,106.0
5.4,9.2648,7.9601,3.8835e+16,0.7384,0.5655600000000001,105.0
5.5,8.8005,7.2817,3.6888e+16,0.73493,0.59859,105.0
5.6,8.4432,6.6362,3.5391e+16,0.73141,0.63172,104.0
5.7,8.2118,6.0117,3.4421e+16,0.7278899999999999,0.6651199999999999,103.0
5.8,8.2278,5.4791,3.4488e+16,0.72418,0.69371,103.0
5.9,8.597999999999999,5.2177,3.604e+16,0.71965,0.7056899999999999,102.0
6.0,8.8666,5.2139,3.7165e+16,0.71397,0.70404,102.0
6.1,9.1006,5.2764,3.8146e+16,0.70802,0.69914,101.0
6.2,9.1318,5.3722,3.8277e+16,0.7017800000000001,0.69388,101.0
6.3,8.9932,5.4336,3.7696e+16,0.69548,0.69181,101.0
6.4,8.6805,5.3913,3.6385e+16,0.6893,0.6970000000000001,101.0
6.5,8.267999999999999,5.2291,3.4656e+16,0.68335,0.71004,101.0
6.6,7.9683,5.0004,3.34e+16,0.67772,0.72672,101.0
6.7,7.8087,4.816,3.2731e+16,0.6721,0.74021,100.0
6.8,7.659,4.6869,3.2103e+16,0.66632,0.75042,100.0
6.9,7.4626,4.5749,3.128e+16,0.66041,0.75979,100.0
7.0,7.2389,4.4476,3.0343e+16,0.65449,0.77017,100.0
7.1,7.0372,4.3085,2.9497e+16,0.64859,0.7811600000000001,100.0
7.2,6.8348,4.1818,2.8649e+16,0.64264,0.79132,100.0
7.3,6.6144,4.0528,2.7725e+16,0.63664,0.80156,100.0
7.4,6.3845,3.9081,2.6761e+16,0.63062,0.81262,100.0
7.5,6.1943,3.7639,2.5964e+16,0.62461,0.82339,100.0
7.6,6.0378,3.6363,2.5308e+16,0.61858,0.8330299999999999,99.0
7.7,5.8849,3.5284,2.4667e+16,0.61253,0.84135,99.0
7.8,5.69,3.4341,2.385e+16,0.6064,0.84882,99.0
7.9,5.4615,3.3356,2.2892e+16,0.6002,0.85641,99.0
8.0,5.2024,3.222,2.1807e+16,0.59391,0.86469,99.0
8.1,4.9124,3.0895,2.0591e+16,0.5875100000000001,0.8738100000000001,99.0
8.2,4.6142,2.9326,1.9341e+16,0.58098,0.8839299999999999,99.0
8.3,4.3467,2.7594,1.822e+16,0.57438,0.89449,99.0
8.4,4.1682,2.5856,1.7471e+16,0.5678,0.9048,98.0
8.5,4.0259,2.4287,1.6875e+16,0.5612,0.91379,98.0
8.6,3.8822,2.2928,1.6273e+16,0.5545800000000001,0.92137,98.0
8.7,3.7482,2.1633,1.5711e+16,0.5479,0.92829,98.0
8.8,3.6252,2.0381,1.5195e+16,0.5411699999999999,0.93491,97.0
8.9,3.5138,1.9187,1.4729e+16,0.5344,0.94095,97.0
9.0,3.4133,1.806,1.4307e+16,0.52761,0.9463799999999999,97.0
9.1,3.319,1.6994,1.3912e+16,0.52079,0.95126,97.0
9.2,3.218,1.5963,1.3489e+16,0.5139100000000001,0.95594,96.0
9.3,3.1089,1.4949,1.3031e+16,0.5069600000000001,0.96034,96.0
9.4,2.9998,1.3966,1.2574e+16,0.49996999999999997,0.96436,96.0
9.5,2.8869,1.2958,1.2101e+16,0.49286,0.9681799999999999,96.0
9.6,2.7633,1.1871,1.1583e+16,0.48552,0.97219,95.0
9.7,2.6415,1.0771,1.1072e+16,0.47803999999999996,0.9759700000000001,95.0
9.8,2.531,0.9687600000000001,1.0609e+16,0.47045,0.97934,95.0
9.9,2.4439,0.85734,1.0244e+16,0.46263999999999994,0.98261,94.0
10.0,2.4001,0.74431,1.006e+16,0.45458999999999994,0.98564,94.0
10.1,2.4183,0.63893,1.0137e+16,0.44645,0.988,93.0
10.2,2.5097,0.54595,1.0519e+16,0.43828,0.99008,93.0
10.3,2.6473,0.46381999999999995,1.1097e+16,0.42996999999999996,0.9915,93.0
10.4,2.8606,0.39875,1.199e+16,0.42162,0.99259,92.0
10.5,3.1993,0.35796999999999995,1.341e+16,0.41323999999999994,0.9929399999999999,92.0
10.6,3.6816,0.35420999999999997,1.5432e+16,0.40514,0.99266,91.0
10.7,4.2918,0.39268000000000003,1.799e+16,0.3976,0.9915799999999999,91.0
10.8,4.9854,0.47047,2.0897e+16,0.39084,0.98972,90.0
10.9,5.7287,0.58028,2.4012e+16,0.3848,0.98741,90.0
11.0,6.4575,0.70922,2.7067e+16,0.37947,0.98456,90.0
11.1,7.1337,0.84635,2.9902e+16,0.37477,0.9814,90.0
11.2,7.7131,0.9783700000000001,3.233e+16,0.37062,0.97821,90.0
11.3,8.2186,1.1056,3.4449e+16,0.36682,0.975,90.0
11.4,8.6492,1.2233,3.6254e+16,0.36318,0.97195,90.0
11.5,9.0192,1.3339,3.7805e+16,0.35977,0.9689700000000001,90.0
11.6,9.3355,1.4375,3.9131e+16,0.35653,0.9660799999999999,90.0
