Altitude (m),Pressure (Pascal),Temperature (K),Number density (particles / m^3),Column density (particles / m^2)
0,492,212.140041070414,0,0
2000,448.3947570772,208.729134296772,0,0
4000,371.848710571794,208.457010249175,0,0
7000,281.073972215916,209.124262093858,0,0
10000,212.49622315791,208.211890060027,0,0
15000,132.996157702607,205.92910745358,0,0
20000,82.8851663977669,203.59949975657,0,0
25000,51.3771214983638,200.277522045644,0,0
30000,31.5198313668365,194.265432987326,0,0
35000,19.0056708381334,186.002346277934,0,0
40000,11.2114970664169,177.247805141921,0,0
50000,3.68242556380551,166.165248242957,0,0
60000,1.1388707715971,159.200177042008,0,0
70000,0.365151307488082,170.205658929691,0,0
80000,0.118682623448097,161.543753906001,0,0
