Wavelengths (microns),C_extinction,C_scattering,kappa,g,Pmax,Thetmax
0.2,19.663,19.663,8.2421e+16,0.82912,0.95667,151.0
0.255,19.842,19.842,8.3169e+16,0.83085,0.80942,147.0
0.3,19.917,19.917,8.3484e+16,0.83556,0.77502,147.0
0.336,20.135,20.135,8.44e+16,0.83723,0.70809,146.0
0.4,20.233,20.233,8.4808e+16,0.83137,0.72751,145.0
0.5,20.628,20.628,8.6464e+16,0.82104,0.66912,144.0
0.588,20.698,20.698,8.676e+16,0.81325,0.56501,145.0
0.6,20.893,20.893,8.7577e+16,0.81415,0.71406,148.0
0.631,20.811,20.811,8.7234e+16,0.80881,0.67797,147.0
0.673,20.916,20.916,8.7674e+16,0.80547,0.62121,146.0
0.7,21.153,21.153,8.8666e+16,0.78873,0.65657,150.0
0.763,21.407,21.407,8.9729e+16,0.79542,0.45684,150.0
0.8,21.334,21.334,8.9423e+16,0.79506,0.52819,150.0
0.835,21.305,21.305,8.9301e+16,0.79145,0.58256,152.0
0.9,21.976,21.975,9.2113e+16,0.77723,0.65519,149.0
0.953,22.169,22.169,9.2924e+16,0.78556,0.61106,156.0
1.0,22.649,22.648,9.4936e+16,0.78627,0.62133,147.0
1.1,23.752,23.751,9.956e+16,0.79535,0.63043,145.0
1.2,24.998,24.995,1.0478e+17,0.80646,0.66142,159.0
1.3,26.201,26.196,1.0983e+17,0.81614,0.65461,157.0
1.4,27.719,27.713,1.1619e+17,0.83076,0.65393,154.0
1.5,28.411,28.24,1.1909e+17,0.84243,0.71015,153.0
1.6,28.998,28.916,1.2155e+17,0.84684,0.69605,154.0
1.7,29.667,29.618,1.2435e+17,0.85592,0.66833,153.0
1.8,29.364,29.33,1.2308e+17,0.86237,0.66999,151.0
1.9,28.949,28.856,1.2134e+17,0.86661,0.67562,150.0
2.0,28.194,27.818,1.1818e+17,0.87138,0.6609,149.0
2.1,27.231,27.05,1.1414e+17,0.87322,0.65872,148.0
2.2,25.861,25.808,1.084e+17,0.8757,0.66325,146.0
2.3,24.068,24.011,1.0088e+17,0.87858,0.67051,144.0
2.4,21.867,21.76,9.1658e+16,0.88152,0.68152,141.0
2.5,19.123,18.987,8.0154e+16,0.88479,0.70047,138.0
2.6,15.421,15.261,6.464e+16,0.88931,0.73286,131.0
2.7,10.163,9.4568,4.2598e+16,0.89693,0.79922,117.0
2.8,5.2853,2.3743,2.2154e+16,0.9051,0.92914,98.0
2.9,11.334,3.3428,4.7507e+16,0.88519,0.92459,87.0
3.0,18.152,7.2456,7.6086e+16,0.8455,0.83993,81.0
3.1,22.79,10.238,9.5529e+16,0.81934,0.60247,80.0
3.2,25.583,12.773,1.0724e+17,0.80847,0.16063,89.0
3.3,28.414,18.74,1.191e+17,0.77305,0.0004648,11.0
3.4,29.499,24.475,1.2365e+17,0.75966,0.0,0.0
3.5,28.341,26.077,1.188e+17,0.76488,0.0,0.0
3.6,26.369,25.13,1.1053e+17,0.77311,0.04877,115.0
3.7,24.35,23.408,1.0207e+17,0.77937,0.11903,116.0
3.8,22.534,21.682,9.4455e+16,0.78301,0.17304,116.0
3.9,20.922,19.977,8.7696e+16,0.78507,0.22149,116.0
4.0,19.532,18.435,8.1871e+16,0.78581,0.26177,115.0
4.1,18.291,17.074,7.667e+16,0.78535,0.29711,114.0
4.2,17.183,15.776,7.2024e+16,0.78447,0.33045,114.0
4.3,16.196,14.48,6.7888e+16,0.78356,0.36397,113.0
4.4,15.533,13.346,6.5108e+16,0.7821,0.39049,112.0
4.5,15.236,12.668,6.3864e+16,0.7788,0.40046,112.0
4.6,15.071,12.715,6.3171e+16,0.77216,0.38725,111.0
4.7,14.325,12.646,6.0043e+16,0.7654,0.38749,110.0
4.8,13.499,12.16,5.6582e+16,0.76053,0.40225,109.0
4.9,12.653,11.517,5.3035e+16,0.75638,0.42354,109.0
5.0,11.847,10.814,4.9656e+16,0.75256,0.44818,108.0
5.1,11.112,10.083,4.6578e+16,0.74899,0.47521,107.0
5.2,10.437,9.3784,4.3747e+16,0.74536,0.503,107.0
5.3,9.8119,8.6711,4.1128e+16,0.74181,0.53314,106.0
5.4,9.2648,7.9601,3.8835e+16,0.7384,0.56556,105.0
5.5,8.8005,7.2817,3.6888e+16,0.73493,0.59859,105.0
5.6,8.4432,6.6362,3.5391e+16,0.73141,0.63172,104.0
5.7,8.2118,6.0117,3.4421e+16,0.72789,0.66512,103.0
5.8,8.2278,5.4791,3.4488e+16,0.72418,0.69371,103.0
5.9,8.598,5.2177,3.604e+16,0.71965,0.70569,102.0
6.0,8.8666,5.2139,3.7165e+16,0.71397,0.70404,102.0
6.1,9.1006,5.2764,3.8146e+16,0.70802,0.69914,101.0
6.2,9.1318,5.3722,3.8277e+16,0.70178,0.69388,101.0
6.3,8.9932,5.4336,3.7696e+16,0.69548,0.69181,101.0
6.4,8.6805,5.3913,3.6385e+16,0.6893,0.697,101.0
6.5,8.268,5.2291,3.4656e+16,0.68335,0.71004,101.0
6.6,7.9683,5.0004,3.34e+16,0.67772,0.72672,101.0
6.7,7.8087,4.816,3.2731e+16,0.6721,0.74021,100.0
6.8,7.659,4.6869,3.2103e+16,0.66632,0.75042,100.0
6.9,7.4626,4.5749,3.128e+16,0.66041,0.75979,100.0
7.0,7.2389,4.4476,3.0343e+16,0.65449,0.77017,100.0
7.1,7.0372,4.3085,2.9497e+16,0.64859,0.78116,100.0
7.2,6.8348,4.1818,2.8649e+16,0.64264,0.79132,100.0
7.3,6.6144,4.0528,2.7725e+16,0.63664,0.80156,100.0
7.4,6.3845,3.9081,2.6761e+16,0.63062,0.81262,100.0
7.5,6.1943,3.7639,2.5964e+16,0.62461,0.82339,100.0
7.6,6.0378,3.6363,2.5308e+16,0.61858,0.83303,99.0
