Altitude (km),Pressure (Pascal),Temperature (K),Number density (particles / m^3)
80.0,0.11868262344809698,161.543753906001,5.321250259549042e+19
70.0,0.36515130748808206,170.205658929691,1.553873220585526e+20
60.0,1.1388707715971,159.200177042008,5.181405934040403e+20
50.0,3.6824255638055097,166.165248242957,1.6051310408273337e+21
40.0,11.2114970664169,177.247805141921,4.5814131592606064e+21
35.0,19.0056708381334,186.002346277934,7.400848229756478e+21
30.0,31.5198313668365,194.26543298732602,1.1751818414109793e+22
25.0,51.3771214983638,200.277522045644,1.858036650397749e+22
20.0,82.88516639776691,203.59949975656997,2.948606539573367e+22
15.0,132.996157702607,205.92910745358003,4.677761492283064e+22
10.0,212.49622315791,208.211890060027,7.392007625783817e+22
7.0,281.073972215916,209.124262093858,9.734932107841231e+22
4.0,371.84871057179396,208.457010249175,1.2920118368193014e+23
2.0,448.39475707720004,208.729134296772,1.5559447491596616e+23
0.0,492.0,212.14004107041401,1.6798061676196346e+23
